"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Learning styles and graphical user interface: is There any preference?","V. Dedić; S. Marković; N. Jovanović","Information Technology School, Belgrade, Serbia; Advanced Business of Professional Studies/IT, Blace, Serbia; Advanced Business of Professional Studies/IT, Blace, Serbia","2011 IEEE 9th International Symposium on Intelligent Systems and Informatics","","2011","","","441","445","Implementing personalisation in Web based environment depends not only on developing appropriate architectures, but also on incorporating human factors considerations at an early design stage. This paper forms the first part, introducing the concepts and issues surrounding the development of personalised learning environments, which incorporates learning styles. The second part presents methodology and results on our research aiming to determine influences of learning styles determined and preferences to graphical user interface. Learning styles for students participating in the study were determined by applying standard 80-items questionnaire by Honey and Mumford.","1949-047X;1949-0488","978-1-4577-1974-5978-1-4577-1975-2978-1-4577-1973","10.1109/SISY.2011.6034368","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6034368","","Graphical user interfaces;Electronic learning;Color;Navigation;Correlation;Intelligent systems","computer aided instruction;graphical user interfaces;human factors;Internet;personal computing","graphical user interface;Web based environment;human factors;personalised learning environment;learning styles","","","15","","","","","IEEE","IEEE Conferences"
"Accommodating learning styles: An EFL pronunciation course for science and engineering students","R. L. Rose","Waseda University, Japan","2010 IEEE International Professional Comunication Conference","","2010","","","138","142","This paper describes a course in pronunciation for science and engineering students studying English as a foreign language in Japan. The course is designed to address the pronunciation needs of science and engineering students while simultaneously catering to the sensory, visual, and active learning styles of these students as well as their interest in and higher aptitude for math, physics, and technology. Students are introduced to the sound system of English and use computer-based tools to look at graphic representations of their own voice, comparing it to those of native speakers. Students learn how to diagnose their own pronunciation problems and develop skills so that they may continue their pronunciation development long after the course is finished through autonomous learning.","2158-091X;2158-1002","978-1-4244-8144-6978-1-4244-8145-3978-1-4244-8143","10.1109/IPCC.2010.5529826","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5529826","learning styles;pronunciation;EFL;learner autonomy","Engineering students;Natural languages;Collaboration;Physics;Audio systems;Computer graphics;Loudspeakers;Speech recognition;Laboratories","computer based training;natural language processing","EFL pronunciation course;science student;engineering student;Japan;English language;foreign language;active learning style;sound system;computer-based tool;graphic representation;pronunciation development;autonomous learning","","","17","","","","","IEEE","IEEE Conferences"
"L3OP: Learning Styles Application Using Learning Objects Approach","S. H. Ab Hamid; T. H. Chuan; Z. M. Kasirun","University of Malaya, Malaysia; University of Malaya, Malaysia; University of Malaya, Malaysia","The Sixth IEEE International Conference on Computer and Information Technology (CIT'06)","","2006","","","255","255","Learning Objects is not a new approach in electronic learning system. It has been applied since more than seven years ago. It can be clearly seen in CanCore project [9] in Canada and the emerging of several standards of Learning Objects by well-known organizations such as IEEE. L3OP (Learning Objects Technology in Object-Oriented Programming ELearning System) project applies the Learning Objects concept into electronic learning system focusing on digitalizing learning styles (especially among higher education students). The electronic learning systems have been used by these students since past few generations and many of them have been enhanced. However, some students still feel that the electronic learning systems are not as effective as they may seem. The reason is varieties of traditional methods of learning styles used by these students, for example, jotting down and highlighting notes cannot be done in the electronic learning systems. For example, some students prefer to use highlight pen or marker to underline the important notes. However, the electronic learning systems can not digitize the styles. The project is only concentrated on visual type of learners. The Learning Objects approach used in this project not only to ensure the organization of the database but also the reusability of the learning content itself.","","0-7695-2687","10.1109/CIT.2006.111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4020016","","Electronic learning;Object oriented programming;Information technology;Stress;Application software;Software engineering;Computer science;Programming profession;Standards organizations;Educational technology","","","","4","9","","","","","IEEE","IEEE Conferences"
"The implication of different learning styles on the modeling of object-oriented systems","L. A. Thomas","Dept. of Comput. Sci., Wales Univ., UK","Proceedings of the 2000 International Conference on Software Engineering. ICSE 2000 the New Millennium","","2000","","","774","","This paper reports on work in progress on the implication of thinking and learning styles on the modelling of object oriented systems. In particular, analyses of learning modalities are presented and then considered in light of using the Unified Modeling Language (UML) a tool for system modelling.","0270-5257","1-58113-206","10.1145/337180.337630","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=870495","","Object oriented modeling;Unified modeling language;Testing;Computer aided software engineering;Software tools;Permission;Computer science;Software engineering;Educational products;Systems engineering education","computer aided software engineering;object-oriented programming;specification languages;computer science education","learning styles;object-oriented systems;thinking styles;learning modalities;UML;system modelling;Unified Modeling Language;CASE tools;software engineering education","","","4","","","","","IEEE","IEEE Conferences"
"Learning objects recommendation platform based on learning styles for programming fundamentals","C. Becerra; R. Muñoz; R. Noël; M. Barría","Escuela de Ingeniería Civil Informática, Facultad de Ingeniería, Universidad de Valparaíso, Valparaíso, Chile; Escuela de Ingeniería Civil Informática, Facultad de Ingeniería, Universidad de Valparaíso, Valparaíso, Chile; Escuela de Ingeniería Civil Informática, Facultad de Ingeniería, Universidad de Valparaíso, Valparaíso, Chile; Escuela de Ingeniería Civil Informática, Facultad de Ingeniería, Universidad de Valparaíso, Valparaíso, Chile","2016 XI Latin American Conference on Learning Objects and Technology (LACLO)","","2016","","","1","6","Currently there is a large amount of material for support educational processes in different areas, specifically in the area of programming fundamentals, it is useful to give the students tutorials, videos, solved exercises and source code as support for their learning process. The problem associated with this is that often the given objects don't match with the student's learning style. In this article is presented the development of a platform for learning objects recommendation based on learning styles. The platform was developed specifically for programming fundamentals. The main result is the development of a platform that allows assesst student's learning style, recommend learning objects according to their preferred style and gives the teacher the options to manage resources and view the behavior of their course (distribution of learning styles and progress in the subject content).","","978-1-5090-6149-5978-1-5090-6148-8978-1-5090-6150","10.1109/LACLO.2016.7751771","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7751771","Learning Styles;Learning Objects;Programming;Recommendation Platform","Programming profession;Metadata;Instruments;Visualization;Resource description framework;Java","computer aided instruction;computer science education;educational courses;recommender systems;source code (software)","learning objects recommendation platform;learning styles;programming fundamentals;educational processes;source code;learning process;course behavior","","","16","","","","","IEEE","IEEE Conferences"
"Notice of Retraction: Analysis of minority groups students' perceptual learning styles","Zhao Fang; Guo Aiping","Business College, Shanxi University, China, Taiyuan, 030031; Foreign Language Department, Taiyuan University of Technology, China, 030024","2010 International Conference on Optics, Photonics and Energy Engineering (OPEE)","","2010","2","","337","338","This article has been retracted by the publisher.","2158-7434;2158-7442","978-1-4244-5234-7978-1-4244-5236","10.1109/OPEE.2010.5507964","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5507964","","","","","","","3","","","","","IEEE","IEEE Conferences"
"Comparison of the Effectiveness of Certainty Factor vs Dempster-Shafer in the Determination of the Adolescent Learning Styles","W. Yulianti; D. Arisandi; A. Syaf","Departement of Informatics Engineering, Universitas Abdurrab, Pekanbaru, Indonesia; Departement of Informatics Engineering, Universitas Abdurrab, Pekanbaru, Indonesia; Departement of Psychology, Universitas Abdurrab, Pekanbaru, Indonesia","2018 2nd International Conference on Electrical Engineering and Informatics (ICon EEI)","","2018","","","46","50","Adolescent is a transition from child to adulthood. In this phase, many teenagers do not know their learning style, whether auditory, visual or kinesthetic. To analyze the way of adolescent learning required counseling from a psychologist. Furthermore, To maintain the objectivity of advice, technology can help the psychologists to build an expert system. This research discussed the expert system to determine of adolescent learning styles based on expert knowledge by comparing the effectiveness of Dempster-Shafer and certainty factor by referring at the process of calculation or processed data effectively and generating accurate confidence values. The results can be a reference for psychologists in determining learning styles so that it can be developed into an expert system application-based technology.","","978-1-5386-6000-3978-1-5386-5999-1978-1-5386-6001","10.1109/ICon-EEI.2018.8784313","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8784313","Demster-Shafer;certainty factor;expert system;psychologist;learning styles","Psychology;Visualization;Expert systems;Informatics;Electrical engineering;Density functional theory;Uncertainty","computer aided instruction;expert systems;inference mechanisms;learning (artificial intelligence);uncertainty handling","adolescent learning styles;psychologist;expert knowledge;certainty factor;expert system;Dempster-Shafer","","","19","","","","","IEEE","IEEE Conferences"
"Using learning styles in software documentation","S. Delanghe","9 Record Rd., Emsworth, UK","IEEE Transactions on Professional Communication","","2000","43","2","201","205","The author suggests that minimal manuals don't appeal to everyone, and that these nonminimalists can be identified and catered to. He identifies different type of learners and how they learn. For example, dynamic learners would be impatient with direct instruction, would probably ignore the instruction, and just experiment. Focused learners are likely to be highly responsive to an authoritative coach. Contemplative learners insist that instructors provide evidence for their claims. Rigorous learners would respond well to thoroughly prepared instruction, but not to ad-hoc sessions. After instruction, they would want to be given a chance to work out the process by themselves. Finally, the author presents a list of techniques, based on learning style preferences, that might help writers engage their audience.","0361-1434;1558-1500","","10.1109/47.843647","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=843647","","Documentation;Desktop publishing;Pressing;Manuals;Books;Communication system software;Concrete","system documentation;user manuals;human factors;philosophical aspects","learning styles;software documentation design;minimal manuals;nonminimalists;dynamic learners;direct instruction;focused learners;authoritative coach;contemplative learners;rigorous learners;ad-hoc sessions;learning style preferences","","2","9","","","","","IEEE","IEEE Journals"
"Flow Experience Research of Sensing-Intuitive Dimension Learning Styles Based on Visual Programming Language","C. Yeh; H. Hsiu-Yen","NA; NA","2015 Third International Conference on Robot, Vision and Signal Processing (RVSP)","","2015","","","260","263","Goal of education is transferred from imparting knowledge to cultivate the learning motivation and ability of self-learning in recent years. Flow experience is a situation, people have excitement and joyful mood in a activity which prompt us to pay more effort to engage and improve learning motivation. Visual programming language has attracted attention because of graphical interface and interactive that unlike traditional programming languages and learning method. This paper investigates the flow experience differences of sensing / intuitive learning styles when learning visual programming language. The result provide that we can pre-assess learners' acceptability of the visual programming language, according the difference between sensing - Intuitive learning style.","2376-9807","978-1-4673-9647-9978-1-4673-9646","10.1109/RVSP.2015.69","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7399193","flow experience;visual programming language;learning style;learning motivationt","Visualization;Computer languages;Education;Games;Robot sensing systems;Software","computer aided instruction;graphical user interfaces;visual programming","flow experience research;sensing intuitive dimension learning styles;visual programming language;learning motivation;graphical interface;traditional programming languages;learning method","","","17","","","","","IEEE","IEEE Conferences"
"The Application of Learning Styles in Both Individual and Collaborative Learning","P. Paredes; P. Rodriguez","Universidad Autonoma de Madrid, Spain; NA","Sixth IEEE International Conference on Advanced Learning Technologies (ICALT'06)","","2006","","","1141","1142","With the goal of applying learning styles in both individual and collaborative learning, some adaptation mechanisms have been developed. These mechanisms try to improve the process of learning by matching the teaching style with the student's learning style and by grouping students in some specific ways. We use the Felder-Silverman learning style model and its index of learning styles (ILS) questionnaire, in order to classify students, depending on their preferences on four dimensions (active/reflective, sensing/intuitive, visual/verbal, and sequential/global). The benefits of learning styles, it can be of interest for adaptive hypermedia learning systems in both individual and collaborative activities, especially if they support automatic grouping of users. From the results obtained by a case study with students of Computer Science in a collaborative task can be concluded that some dimensions of the learning style model seem to affect the quality of the resulting work. With this aim, new grouping rules have been incorporated in the TANGOW/WOTAN system to be used in the corresponding courses","2161-3761;2161-377X","0-7695-2632","10.1109/ICALT.2006.1652663","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1652663","","Collaborative work;Adaptive systems;Collaboration;Education;Learning systems;Computer science;Data mining;Euclidean distance","computer aided instruction;computer science education;groupware;hypermedia","individual learning;collaborative learning;teaching style;Felder-Silverman learning style model;adaptive hypermedia learning systems;automatic user grouping;computer science;collaborative task;TANGOW-WOTAN system;educational course","","11","11","","","","","IEEE","IEEE Conferences"
"Learning styles in foreign language teaching/learning","I. Šimonová","University of Hradec Kralove, Faculty of Informatics and Management, Czech Republic","2011 IEEE Global Engineering Education Conference (EDUCON)","","2011","","","937","940","This paper deals with the teaching and learning process based on the detected student's learning style. The teaching process is built on the needs analysis questionnaire which defines students' individual learning style and summarizes their experience in previous foreign language learning. These results are consequently reflected in the teaching methods and approaches to each student. The paper presents results of students' opinions reflected in proposals of methods and activities which support the efficiency of the teaching process and students'motivation towards learning.","2165-9559;2165-9567","978-1-61284-643-9978-1-61284-642-2978-1-61284-641","10.1109/EDUCON.2011.5773259","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5773259","e-learning;learning styles;ICT;needs analysis;university education","Program processors;Engineering education;Educational institutions;Materials;Conferences;Psychology","computer aided instruction;teaching","foreign language teaching process;learning process;learning styles","","","4","","","","","IEEE","IEEE Conferences"
"A study of the reliability and validity of the first Arabic learning styles instrument (ALSI)","A. M. Alzain; S. Clark; G. Ireson; A. Jwaid","School of Science and Technology, Nottingham Trent University, United Kingdom; School of Science and Technology, Nottingham Trent University, United Kingdom; School of Education, Nottingham Trent University, United Kingdom; School of Science and Technology, Nottingham Trent University, United Kingdom","2016 World Congress on Sustainable Technologies (WCST)","","2016","","","29","34","Research on education has indicated that students have different abilities and needs. In other words, they tend to learn in different ways, these ways were called a learning style. Although the learning style in many developed countries has seen a significant amount of research [1, 2], unfortunately, in Arabic region this work is still in its infancy [3-5]. The literature review revealed that there is no any learning style instrument has been designed to be applied in Arabic region and cultures. This lack encouraged the researcher to design and develop the first Arabic learning style instrument (ALSI). This study was conducted based on data collected from 111 students across 3 faculties and 2 higher institutes (polytechnics) at Misratah city in Libya. This paper also analysis the psychometric properties of the new instrument. This includes internal reliability, test-retest reliability, factor analysis and content validity index.","","978-1-908320-70-4978-1-4673-8935","10.1109/WCST.2016.7886586","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7886586","learning;style;reliability;validity;instrument","Correlation;Visualization;Urban areas;Instruments;Reliability engineering;Software","computer aided instruction;educational institutions;further education;psychometric testing","Arabic learning style instrument;higher institutes;Misratah city;Libya;psychometric properties;internal reliability;test-retest reliability;factor analysis;content validity index","","1","13","","","","","IEEE","IEEE Conferences"
"Adapting for Visual and Verbal Learning Styles in AEH","E. Brown; C. Stewart; T. Brailsford","University of Nottingham, UK; NA; NA","Sixth IEEE International Conference on Advanced Learning Technologies (ICALT'06)","","2006","","","1145","1146","This paper describes how visual and verbal learning styles have been successfully integrated into an adaptive educational environment. User trials of this system were carried out, to determine the effect of the adaptation, and although these user trials do not indicate any statistically significant differences, the qualitative information gleaned from the study indicated that students preferred using this environment over other traditional revision methods, and that they perceived personalized tuition to be better than a 'one size fits all' approach","2161-3761;2161-377X","0-7695-2632","10.1109/ICALT.2006.1652665","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1652665","","Adaptive systems;Adaptation model;Information filtering;Information filters","computer aided instruction;hypermedia;user modelling","visual learning style;verbal learning style;adaptive educational environment;adaptive educational hypermedia","","9","6","","","","","IEEE","IEEE Conferences"
"Investigating the effect of learning styles on the acceptance of e-books among university students","G. Painén-Aravena; J. Alfaro-Pérez; P. Ramírez-Correa; E. E. Grandón; S. Araya-Guzmán","Escuela de Ingeniería, Universidad Católica del Norte, Coquimbo, Chile; Escuela de Ingeniería, Universidad Católica del Norte, Coquimbo, Chile; Escuela de Ingeniería, Universidad Católica del Norte, Coquimbo, Chile; Facultad de Ciencias Empresariales, Universidad del Bío-Bío, Concepción, Chile; Facultad de Ciencias Empresariales, Universidad del Bío-Bío, Concepción, Chile","2019 14th Iberian Conference on Information Systems and Technologies (CISTI)","","2019","","","1","4","The objective of this study is to analyse the effects of learning styles on the acceptance of the use of e-books among university students. Data were collected from 153 engineering students in Chile through a face-to-face survey based on the Felder-Silverman learning styles model and Ajzen's theory of planned behaviour. Through a two-steps cluster analysis, students were classified into three segments based on their learning styles. Next, the differences between the segments in the behaviour model were analysed, using the technique of structural equations Partial Least Squares. The study results indicate that there are differences in the acceptance behaviour of e-books associated with the distinct learning profiles.","2166-0727","978-9-8998-4349-3978-1-7281-1552","10.23919/CISTI.2019.8760702","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8760702","e-book;TPB;learning styles;Chile","Visualization;Electronic publishing;Mathematical model;Information systems;Media;Engineering students;Data models","computer aided instruction;electronic publishing;engineering education;statistical analysis","distinct learning profiles;e-books;university students;face-to-face survey;Felder-Silverman learning styles model;behaviour model;acceptance behaviour;engineering students;structural equations partial least squares","","","","","","","","IEEE","IEEE Conferences"
"Using player profiles and learning styles in the design of Educational Games","R. Echeverría; F. Jurado","Escuela Politécnica Superior, Universidad Autónoma de Madrid, 28049, España; Escuela Politécnica Superior, Universidad Autónoma de Madrid, 28049, España","2015 International Symposium on Computers in Education (SIIE)","","2015","","","141","144","In the development of any educational game the educational and entertainment values it provides should be balanced. In this contribution we propose that the adaptation rules in Adaptive Educational Games are based on both the player profile, to motivate the student in the use of the tool, and the learning style, to help determine the best teaching/learning method to use and what learning objects and services that best suit the learning process for each particular student are.","","978-1-5090-1435","10.1109/SIIE.2015.7451664","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7451664","Educational Games;Adaptive Systems;Player Profiles;Learning Styles","Education;Games","computer aided instruction;computer games;entertainment;teaching","player profiles;learning styles;educational game design;educational values;entertainment values;adaptation rules;adaptive educational games;student motivation;teaching;learning method;learning objects;learning services;learning process","","1","24","","","","","IEEE","IEEE Conferences"
"Dynamic Adaptive Mechanism in Learning Management System Based on Learning Styles","S. Alkhuraiji; B. Cheetham; O. Bamasak","NA; NA; NA","2011 IEEE 11th International Conference on Advanced Learning Technologies","","2011","","","215","217","Learning management systems are widely and successfully used for the delivery of self-paced online courses. This paper is concerned with enhancing the capability of such systems by introducing adaptivity in the way the information is presented to the on-line learner. Adaptivity means that the presentation style is personalised to the preferred learning style of each student, as may be modelled by a Bayesian Network. The modelling is based on learning theories that have been proven by much experience, and provide appropriate assessment procedures. Techniques for introducing two forms of adaptivity, static and dynamic are considered and two experiments, based on case-studies are devised for evaluating their potential.","2161-377X;2161-3761;2161-3761","978-1-61284-209-7978-0-7695-4346","10.1109/ICALT.2011.69","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5992305","Adaptivity;Learning Syle;Learning Management System","Adaptive systems;Adaptation models;Electronic learning;Materials;Bayesian methods;Learning systems","belief networks;computer aided instruction","dynamic adaptive mechanism;learning management system;learning styles;self-paced online courses;online learner;Bayesian network","","3","11","","","","","IEEE","IEEE Conferences"
"Work in progress — Learning styles in social bookmarking systems","F. J. Sánchez-Zamora; M. Llamas-Nistal; M. J. Fernández-Iglesias","Universidade de Vigo, Department of Telematics; Universidade de Vigo, Department of Telematics; Universidade de Vigo, Department of Telematics","2010 IEEE Frontiers in Education Conference (FIE)","","2010","","","T2J-1","T2J-2","This work addresses the characterization of user behavior in social bookmarking systems such as Bibsonomy or Delicious. From an educational point of view, user behavior characterization is related to learning styles. E-learning activities such as adaptive learning or online coaching and mentoring may benefit from this characterization.","0190-5848;0190-5848;0190-5848;2377-634X","978-1-4244-6262-9978-1-4244-6261-2978-1-4244-6259-9978-1-4244-6260","10.1109/FIE.2010.5673346","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5673346","Learning styles;Social bookmarking systems;Complex networks","Tagging;Visualization;Complex networks;Knowledge acquisition;Conferences;Proposals;Technical Activities Guide - TAG","computer aided instruction;Internet;search engines","learning style;social bookmarking system;Bibsonomy;Delicious;user behavior characterization;e-learning activities;adaptive learning;online coaching;online mentoring","","1","3","","","","","IEEE","IEEE Conferences"
"What Can We Learn from Long-Time Lasting Measurements of Felder-Silverman's Learning Styles?","C. Giovannella","NA","2012 IEEE 12th International Conference on Advanced Learning Technologies","","2012","","","647","649","This article describes a study, lasted three academic years, aiming to detect modifications of learning styles (LS) over the time. LS measurements have been performed according to the Felder-Silverman's learning styles model (FSLSM) and measuring tool (ILS questionnaire). Experimental results show that individual LS measured after one or two year/s, are subjected to high variability. On the contrary, changes in the mean values of LS (worked out over homogeneous groups) - useful to highlight effects of a given curriculum or educational environment on the subjects - are much more stable, although deserve low sensitivity.","2161-3761;2161-377X","978-1-4673-1642-2978-0-7695-4702","10.1109/ICALT.2012.187","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6268199","Learning styles;Felder-Silverman's learning styles model;long term learning style measurements","Visualization;Correlation;Physics;Sensitivity;Adaptation models;Conferences;Educational institutions","computer aided instruction","Felder-Silverman learning styles;LS measurements;measuring tool;ILS questionnaire;curriculum environment;educational environment;long-time lasting measurements;technology enhanced learning","","2","11","","","","","IEEE","IEEE Conferences"
"Flipped Classrooms Using Social Networks: An Investigation on Learning Styles","L. Gunawardena; M. P. Pitigala Liyanage","NA; NA","2018 7th International Congress on Advanced Applied Informatics (IIAI-AAI)","","2018","","","956","957","The Flipped Classroom concept has recently been trending as a novel approach to adding a refreshing touch to the traditional classroom lecture. Social Networks are increasingly becoming a ubiquitous characteristic of many learners and is often compared to a complementing platform to the more established learning management systems. In most conventional setups, learners have a diverse set of characteristics. One such - Learning styles, is often considered as necessary for ensuring productivity and learner satisfaction in a learning environment. This paper investigates learning styles used in a flipped classroom environment implemented with the aid of a popular social network. In the preliminary analysis, the learning styles of the learners are gathered through a computer-based test, and a simple feedback survey was carried out to evaluate whether the content presentation and flipped approach was satisfactory. The results in this case suggest that the satisfaction of students in a flipped classroom benefit from content prepared to match the selected learning styles of users (Visual).","","978-1-5386-7447-5978-1-5386-7448","10.1109/IIAI-AAI.2018.00199","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8693394","Flipped Classrooms, Learning Styles, Blended Learning, ICT in Education","","computer aided instruction;social networking (online)","Flipped Classroom concept;traditional classroom lecture;productivity;learner satisfaction;learning environment;flipped classroom environment;learning styles;social networks;learning management systems;content presentation","","","6","","","","","IEEE","IEEE Conferences"
"Learning styles and reading on screen","R. Pinter; D. Radosav; S. M. Čisar","Subotica Tech, Subotica, Serbia; Technical Faculty “Mihajlo Pupin”, Zrenjanin, Serbia; Subotica Tech, Subotica, Serbia","IEEE 8th International Symposium on Intelligent Systems and Informatics","","2010","","","159","161","The paper describes our pilot project for detecting those factors which could affect the reading from screen. Because entire course in the computer-based education cannot be always presented with multimedia elements, it is important to make a textual part of a curriculum easy and effective to read. We present an application, developed at Subotica Tech, which purpose is to find relations between students' learning style and how they read from screen.","1949-047X;1949-0488","978-1-4244-7396-0978-1-4244-7394-6978-1-4244-7395","10.1109/SISY.2010.5647271","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5647271","","Animation;Visualization;Electronic learning;Multimedia communication;Computers;Engineering education","computer aided instruction;multimedia systems;screens (display);text analysis","screen reading;computer based education;multimedia element;textual part;Subotica Tech;student learning style","","","15","","","","","IEEE","IEEE Conferences"
"Student learning styles and emotional tendencies detection based on Twitter","R. Habibi; D. B. Setyohadi; K. I. Santoso","Information System, STMIK Bina Patria, Magelang, Indonesia; Magister Teknik Informatika, Universitas Atma JayaY ogyakarta, Yogyakarta, Indonesia; Information System, STMIK Bina Patria, Magelang, Indonesia","2017 4th International Conference on Information Technology, Computer, and Electrical Engineering (ICITACEE)","","2017","","","239","243","The students' learning styles affect the understanding of the materials provided in university. In the learning process, emotional factors strongly affect students' motivation and learning style. Students post their activities, experiences, feelings in Twitter. Tweets sentiment analysis results represent the students' emotional tendency. The knowledge about learning styles and emotional tendency are employed to find suitable teaching techniques and approaches. The study employs learning style that involves visual, aural, reading/writing, kinaesthetic (VARK) to identify the students learning styles. The results are that students' learning styles are classified in 13.33% visual, 36.67% aural, 20% read/write and 30% kinaesthetic. The emotional tendencies of the students are 33.33% positive, 53.33% neutral, 13.33% negative. The mapping concept based on the learning styles and emotional tendencies finds that positive emotional tendency is related to all learning styles. The neutral emotional tendency is related with aural, read/write, kinaesthetic. The negative emotional tendency is related to visual.","","978-1-5386-3947-4978-1-5386-3948","10.1109/ICITACEE.2017.8257710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8257710","student learning styles;sentiment analysis;emotional tendency;Twitter;VARK learning styles;mapping","Sentiment analysis;Twitter;Dictionaries;Visualization;Training data;Training;Backpropagation","computer aided instruction;sentiment analysis;social networking (online);teaching","student learning styles;emotional tendencies detection;Twitter;Tweets sentiment analysis;students' emotional tendency;teaching techniques;visual, aural, reading/writing, kinaesthetic;VARK","","","16","","","","","IEEE","IEEE Conferences"
"Work in progress - learning styles and performance on the dynamics concept inventory","B. P. Self; J. Widmann","California Polytechnic State University, USA; California Polytechnic State University, USA","2009 39th IEEE Frontiers in Education Conference","","2009","","","1","2","Recently, a great deal of attention has been paid to conceptual knowledge in engineering. Although professors can be quite good at teaching students how to choose the appropriate equation and calculate an answer, often these students do not come away from the course with a deep conceptual appreciation of the material. The current study investigates if certain types of learning styles correlate to student conceptual learning in undergraduate dynamics. Each of the students (86 last quarter) in the course took the index of learning styles (ILS) based on the Felder-Silverman model. The ILS assesses student preferences on four key dimensions: active/reflective, sensing/intuitive, visual/verbal, and sequential/global. Although some may argue on which learning styles model is the most appropriate, the ILS has been validated and reported often in the literature. Student scores on each of the four dimensions were recorded on the numerical score of 1-11. We have assessed student conceptual understanding by administering the dynamics concept inventory (DCI) before and after the course. The scores on the DCI were correlated to student learning styles.","0190-5848;2377-634X","978-1-4244-4715-2978-1-4244-4714","10.1109/FIE.2009.5350822","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5350822","conceptual knowledge;learning styles","Education;Equations;Testing;Power engineering and energy;Knowledge engineering;Engineering profession;Cognitive science;Problem-solving;Wheels;Kinetic energy","educational courses;engineering education;teaching","dynamics concept inventory;teaching;educational course;student conceptual learning style;index of learning styles;Felder-Silverman model;learning styles model","","3","6","","","","","IEEE","IEEE Conferences"
"Computer science e-courses for students with different learning styles","O. Mironova; I. Amitan; J. Vilipõld; M. Saar; T. Rüütmann","Faculty of Information Technology, Department of Informatics, Software Engineering, Tallinn University of Technology, Akadeemia tee St. 15A, 12618, Estonia; Faculty of Information Technology, Department of Informatics, Software Engineering, Tallinn University of Technology, Akadeemia tee St. 15A, 12618, Estonia; Faculty of Information Technology, Department of Informatics, Software Engineering, Tallinn University of Technology, Akadeemia tee St. 15A, 12618, Estonia; Faculty of Information Technology, Department of Informatics, Software Engineering, Tallinn University of Technology, Akadeemia tee St. 15A, 12618, Estonia; Faculty of Social Sciences, Department of Industrial Psychology, Estonian Centre for Engineering Pedagogy, Tallinn University of Technology, Akadeemia tee St. 3, 12618, Estonia","2013 Federated Conference on Computer Science and Information Systems","","2013","","","735","738","E-learning is a contemporary teaching tool that has become popular and widely used in engineering education in recent years. This article presents the outcomes of a study on considering students' different learning styles in teaching information and communication technology using e-learning. Students were divided into two study groups. The reference group studied according to a provided learning model which including both theoretical educational material and practical assignments. Students of the test group were divided according to their learning styles using the Felder-Silverman model. Different relevant learning models, which included the same theoretical material and practical assignments, were designed for students of the test group based on the learning styles. The results of the study proved that the learning materials which were designed taking into account students' different learning styles considerably improved the achievement of the learning outcomes. A detailed description and analysis of the study is presented in the article.","","978-83-60810-52","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6644090","","Materials;Visualization;Computer science;Educational institutions;Sensors;Engineering education","computer aided instruction;computer science education;educational courses;teaching","computer science e-courses;e-learning;contemporary teaching tool;engineering education;student learning styles;information and communication technology;study groups;learning model;theoretical educational material;practical assignments;Felder-Silverman model;learning materials;learning outcomes","","1","7","","","","","IEEE","IEEE Conferences"
